epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2632.84,0.2046,2.83815,0.98729,0.74608,0.31549,0.34607,0.34211,0.21808,2.07153,0.47971,7.22438e-05,7.22438e-05,7.22438e-05
2,5250.19,0.10151,1.35301,0.90862,0.75444,0.43167,0.47483,0.46944,0.21162,1.5565,0.43934,0.000137421,0.000137421,0.000137421
3,7872.66,0.09278,1.00581,0.89924,0.82303,0.49508,0.56966,0.56293,0.20399,1.11608,0.40932,0.000195436,0.000195436,0.000195436
4,10488,0.08301,0.8569,0.89376,0.83296,0.53555,0.59908,0.59382,0.1776,0.87955,0.37123,0.000184775,0.000184775,0.000184775
5,13172.3,0.07649,0.74851,0.89168,0.84451,0.55044,0.62564,0.62275,0.17505,0.76849,0.3609,0.000174034,0.000174034,0.000174034
6,15945.7,0.07002,0.66774,0.89034,0.81233,0.61096,0.65983,0.65639,0.1459,0.64143,0.33222,0.000163292,0.000163292,0.000163292
7,18570.8,0.06666,0.61856,0.88838,0.76998,0.64142,0.67747,0.67431,0.14139,0.60237,0.32471,0.000152551,0.000152551,0.000152551
8,21496.6,0.06172,0.56691,0.88601,0.82216,0.65252,0.68999,0.68651,0.16384,0.55506,0.34713,0.000141809,0.000141809,0.000141809
9,24156.9,0.05883,0.53084,0.88496,0.8613,0.6274,0.69794,0.69422,0.17994,0.54572,0.37698,0.000131068,0.000131068,0.000131068
10,26756.8,0.05674,0.49572,0.88352,0.83603,0.64414,0.70049,0.69831,0.15911,0.50712,0.34316,0.000120326,0.000120326,0.000120326
11,29335.4,0.05932,0.45241,0.89024,0.81249,0.67732,0.71008,0.70871,0.11638,0.44425,0.28519,0.000109585,0.000109585,0.000109585
12,31944.7,0.0466,0.36404,0.88414,0.8758,0.66954,0.72748,0.72508,0.16719,0.47105,0.347,9.88435e-05,9.88435e-05,9.88435e-05
13,36065.6,0.04227,0.31469,0.88136,0.86432,0.70139,0.75908,0.7573,0.12554,0.37032,0.29379,8.8102e-05,8.8102e-05,8.8102e-05
14,42466.3,0.03879,0.28036,0.87853,0.84846,0.70946,0.75658,0.75483,0.15657,0.3964,0.33872,7.73605e-05,7.73605e-05,7.73605e-05
15,47884,0.03681,0.25164,0.87937,0.83286,0.74502,0.76253,0.7611,0.14643,0.37397,0.31549,6.6619e-05,6.6619e-05,6.6619e-05
16,50383.5,0.03402,0.23425,0.88002,0.909,0.71005,0.7668,0.7648,0.13149,0.35168,0.30023,5.58775e-05,5.58775e-05,5.58775e-05
17,52846.9,0.03178,0.20945,0.87702,0.86353,0.74903,0.78123,0.78063,0.16786,0.40524,0.35775,4.5136e-05,4.5136e-05,4.5136e-05
18,55315.7,0.02972,0.19765,0.87848,0.75835,0.77817,0.77289,0.77215,0.19583,0.41943,0.39945,3.43945e-05,3.43945e-05,3.43945e-05
19,57798.8,0.02795,0.18134,0.8751,0.79908,0.78444,0.77471,0.77374,0.12713,0.33448,0.29206,2.3653e-05,2.3653e-05,2.3653e-05
20,62124.1,0.02613,0.17405,0.8759,0.87663,0.74048,0.77916,0.77828,0.12681,0.3358,0.29228,1.29115e-05,1.29115e-05,1.29115e-05
